CustomerID,CustomerName,EmailAddress,PhoneNumber,PurchasedItem,ItemCategory,Quantity,OrderValue,PurchaseDate,Location,DiscountApplied,PaymentMethod
CUST-10627,Isabella Miller,isabella.miller@company.org,+1-854-314-1409,Jeans,Apparel,1,60.0,2023-07-01,Houston,0,Apple Pay
CUST-10349,Alexander Moore,alexander.moore@outlook.com,+1-959-481-5012,T-Shirt,Apparel,4,80.0,2023-04-20,New York,20,PayPal
CUST-52195,Amelia Johnson,amelia.johnson@company.org,+1-428-342-2679,Jacket,Outerwear,2,235.0,2023-04-06,San Diego,5,Gift Card
CUST-27278,Mia Taylor,mia.taylor@outlook.com,+1-892-958-9935,Dress,Apparel,2,150.0,2023-05-21,San Antonio,0,Debit Card
CUST-92081,Elijah Hernandez,elijah.hernandez@yahoo.com,+1-289-804-7912,Dress,Apparel,3,220.0,2023-05-24,Chicago,5,Apple Pay
CUST-97055,Isabella Lopez,isabella.lopez@outlook.com,+1-232-230-2535,Dress,Apparel,4,300.0,2023-08-17,Phoenix,0,Credit Card
CUST-41790,Evelyn Jackson,evelyn.jackson@icloud.com,+1-423-438-9279,Sneakers,Footwear,3,250.0,2023-03-18,San Diego,5,Gift Card
CUST-14731,Mia Miller,mia.miller@icloud.com,+1-816-227-4257,Jacket,Outerwear,4,480.0,2023-01-18,Phoenix,0,Debit Card
CUST-30251,Mia Martin,mia.martin@icloud.com,+1-933-865-9928,T-Shirt,Apparel,2,50.0,2023-11-11,Los Angeles,0,Credit Card
CUST-59220,Noah Garcia,noah.garcia@gmail.com,+1-629-425-8359,Scarf,Accessories,1,0.0,2023-11-14,Phoenix,20,Cash
CUST-41706,Elijah Smith,elijah.smith@yahoo.com,+1-803-484-1106,Jacket,Outerwear,1,115.0,2023-11-12,Phoenix,5,PayPal
CUST-47610,Olivia Taylor,olivia.taylor@company.org,+1-977-363-7924,Sneakers,Footwear,1,85.0,2023-05-06,San Antonio,0,Cash
CUST-19457,Liam Hernandez,liam.hernandez@company.org,+1-548-484-3547,Sneakers,Footwear,1,85.0,2023-11-28,Phoenix,0,PayPal
CUST-78656,James Moore,james.moore@gmail.com,+1-420-981-6514,Jeans,Apparel,1,45.0,2023-06-01,San Diego,15,Apple Pay
CUST-12619,Oliver Taylor,oliver.taylor@outlook.com,+1-304-294-7224,Jacket,Outerwear,3,360.0,2023-09-13,Chicago,0,Debit Card
CUST-36423,Liam Miller,liam.miller@gmail.com,+1-299-567-6635,Dress,Apparel,4,300.0,2023-07-30,Phoenix,0,Apple Pay
CUST-13840,Emma Taylor,emma.taylor@outlook.com,+1-818-470-1711,Sneakers,Footwear,2,170.0,2023-10-09,Philadelphia,0,PayPal
CUST-35724,James Martin,james.martin@outlook.com,+1-947-670-9785,Sneakers,Footwear,3,255.0,2023-09-03,Phoenix,0,PayPal
CUST-61734,James Rodriguez,james.rodriguez@hotmail.com,+1-327-587-2291,Jeans,Apparel,4,230.0,2023-02-01,Phoenix,10,PayPal
CUST-78098,Harper Taylor,harper.taylor@company.org,+1-765-500-6925,Scarf,Accessories,1,10.0,2023-02-14,New York,10,Gift Card
CUST-39771,William Martin,william.martin@icloud.com,+1-791-396-2139,Dress,Apparel,4,300.0,2023-05-24,Chicago,0,Credit Card
CUST-42245,Lucas Davis,lucas.davis@outlook.com,+1-246-877-4733,Scarf,Accessories,4,75.0,2023-07-16,San Diego,5,Debit Card
CUST-67036,Amelia Taylor,amelia.taylor@hotmail.com,+1-991-496-2307,Sneakers,Footwear,1,85.0,2023-03-12,Los Angeles,0,Apple Pay
CUST-39639,Amelia Miller,amelia.miller@company.org,+1-438-303-7227,T-Shirt,Apparel,1,5.0,2023-08-03,New York,20,Apple Pay
CUST-08513,Evelyn Smith,evelyn.smith@icloud.com,+1-484-664-6977,Dress,Apparel,1,55.0,2023-04-13,San Diego,20,Cash
CUST-68870,James Gonzalez,james.gonzalez@outlook.com,+1-366-579-6820,Jacket,Outerwear,2,240.0,2023-11-26,Houston,0,PayPal
CUST-40930,Alexander Jackson,alexander.jackson@outlook.com,+1-414-886-5374,Jeans,Apparel,1,45.0,2023-09-27,Chicago,15,PayPal
CUST-82778,Olivia Jackson,olivia.jackson@gmail.com,+1-918-899-2169,Scarf,Accessories,2,30.0,2023-05-08,Philadelphia,10,PayPal
CUST-33804,Ava Taylor,ava.taylor@gmail.com,+1-823-850-3803,T-Shirt,Apparel,1,25.0,2023-11-19,Chicago,0,Apple Pay
CUST-26114,Evelyn Gonzalez,evelyn.gonzalez@company.org,+1-746-946-5010,T-Shirt,Apparel,2,50.0,2023-10-06,Houston,0,Cash
CUST-55507,Isabella Thomas,isabella.thomas@icloud.com,+1-367-673-7216,Jacket,Outerwear,4,480.0,2023-01-10,Houston,0,Credit Card
CUST-34454,Sophia Davis,sophia.davis@outlook.com,+1-476-855-4598,Jeans,Apparel,3,170.0,2023-07-15,Houston,10,Gift Card
CUST-98182,Isabella Jackson,isabella.jackson@company.org,+1-901-532-1916,Sneakers,Footwear,4,320.0,2023-07-03,San Antonio,20,Debit Card
CUST-46821,Henry Moore,henry.moore@company.org,+1-434-232-6168,Scarf,Accessories,4,70.0,2023-09-03,Los Angeles,10,Credit Card
CUST-58036,Noah Smith,noah.smith@yahoo.com,+1-610-474-2084,Scarf,Accessories,1,5.0,2023-10-06,Phoenix,15,Apple Pay
CUST-02946,Benjamin Wilson,benjamin.wilson@gmail.com,+1-416-780-6155,Jeans,Apparel,2,115.0,2023-09-06,Chicago,5,Gift Card
CUST-15936,Henry Jackson,henry.jackson@icloud.com,+1-417-871-9179,Scarf,Accessories,3,50.0,2023-06-26,San Diego,10,Gift Card
CUST-27925,Sophia Anderson,sophia.anderson@outlook.com,+1-605-858-8517,Sneakers,Footwear,1,75.0,2023-10-17,San Antonio,10,Gift Card
CUST-79940,Liam Moore,liam.moore@company.org,+1-346-471-3287,Jacket,Outerwear,1,120.0,2023-09-15,San Diego,0,PayPal
CUST-65729,Alexander Johnson,alexander.johnson@outlook.com,+1-452-962-9830,Jacket,Outerwear,1,115.0,2023-06-14,Phoenix,5,Debit Card
CUST-52826,Amelia Taylor,amelia.taylor@yahoo.com,+1-469-964-8019,T-Shirt,Apparel,4,90.0,2023-07-18,Phoenix,10,Apple Pay
CUST-83649,Isabella Moore,isabella.moore@icloud.com,+1-797-608-6930,T-Shirt,Apparel,2,50.0,2023-05-19,Philadelphia,0,Apple Pay
CUST-84109,James Garcia,james.garcia@company.org,+1-424-341-9348,T-Shirt,Apparel,2,40.0,2023-04-03,Houston,10,Gift Card
CUST-46842,Elijah Jackson,elijah.jackson@outlook.com,+1-705-293-1771,Jacket,Outerwear,3,360.0,2023-01-14,Los Angeles,0,Apple Pay
CUST-36959,Amelia Brown,amelia.brown@gmail.com,+1-312-356-3621,Sneakers,Footwear,2,165.0,2023-06-13,Philadelphia,5,Debit Card
CUST-69425,Olivia Smith,olivia.smith@yahoo.com,+1-896-632-2040,Jacket,Outerwear,2,230.0,2023-11-02,New York,10,Debit Card
CUST-97580,Benjamin Davis,benjamin.davis@icloud.com,+1-594-590-8668,Jacket,Outerwear,1,120.0,2023-04-23,San Antonio,0,Cash
